Temperature (C),Humidity,Pressure (millibars)
9.472222222,0.89,1015.13
9.355555556,0.86,1015.63
9.377777778,0.89,1015.94
8.288888889,0.83,1016.41
8.755555556,0.83,1016.51
9.222222222,0.85,1016.66
7.733333333,0.95,1016.72
8.772222222,0.89,1016.84
10.82222222,0.82,1017.37
13.77222222,0.72,1017.22
16.01666667,0.67,1017.42
17.14444444,0.54,1017.74
17.8,0.55,1017.59
17.33333333,0.51,1017.48
18.87777778,0.47,1017.17
18.91111111,0.46,1016.47
15.38888889,0.6,1016.15
15.55,0.63,1016.17
14.25555556,0.69,1015.82
13.14444444,0.7,1015.83
11.55,0.77,1015.85
11.18333333,0.76,1015.77
10.11666667,0.79,1015.4
10.2,0.77,1015.51
10.42222222,0.62,1014.4
9.911111111,0.66,1014.2
11.18333333,0.8,1008.71
7.155555556,0.79,1014.47
6.111111111,0.82,1014.45
6.788888889,0.83,1014.49
7.261111111,0.85,1014.52
7.8,0.83,1014.16
9.872222222,0.78,1014.24
12.22222222,0.72,1014.25
15.09444444,0.61,1013.96
17.35555556,0.52,1013.85
19.00555556,0.46,1013.04
20.04444444,0.4,1012.22
21.05,0.4,1011.44
21.18333333,0.37,1010.52
20.11666667,0.4,1009.83
20.21666667,0.36,1009.26
20,0.43,1008.76
17.8,0.5,1008.36
16.06111111,0.53,1008.11
15.02222222,0.55,1008.15
14.42222222,0.58,1007.85
14.25555556,0.59,1007.89
13.77222222,0.6,1007.36
13.28333333,0.63,1007.26
8.633333333,0.87,1005.1
11.25,0.83,1007.01
11.18333333,0.89,1006.73
10.69444444,0.95,1006.59
11.11111111,0.93,1006.34
11.11111111,0.93,1006.09
12.16666667,0.82,1005.97
12.75555556,0.79,1005.63
13.83888889,0.84,1005.83
16.18333333,0.73,1005.97
17.51666667,0.67,1005.64
17.38333333,0.67,1005.2
17.36111111,0.71,1005.1
17.20555556,0.74,1004.65
15.63333333,0.81,1004.04
13.57777778,0.9,1004.08
10.91111111,0.86,1004.61
8.8,0.99,1004.99
8.961111111,0.93,1004.85
8.2,0.96,1004.96
7.688888889,0.96,1005.14
7.766666667,0.96,1005.05
8.2,0.96,1004.8
8.177777778,0.93,1004.89
7.311111111,0.82,1007
7.644444444,0.93,1004.3
6.622222222,0.93,1003.68
6.683333333,0.93,1003.86
6.088888889,0.93,1003.57
6.066666667,0.93,1003.96
6.144444444,0.93,1004.1
7.133333333,0.8,1004.26
7.205555556,0.86,1004.18
7.566666667,0.84,1004.23
8.9,0.77,1004.47
9.961111111,0.71,1004.52
9.888888889,0.71,1004.29
11.06666667,0.71,1003.93
10.11666667,0.76,1004
11.03888889,0.66,1004.3
10.65,0.7,1004
10.05,0.7,1004.39
9.9,0.66,1005.48
8.794444444,0.71,1005.89
7.827777778,0.72,1006.37
7.855555556,0.72,1006.56
7.316666667,0.75,1007.07
7.244444444,0.75,1007.37
5.438888889,0.88,1012.23
7.2,0.76,1007.28
6.688888889,0.7,1007.18
6.211111111,0.73,1007.39
6.111111111,0.76,1007.67
6.111111111,0.76,1007.98
6.172222222,0.76,1008.57
7.222222222,0.71,1008.87
7.288888889,0.73,1009.44
7.405555556,0.72,1010.03
7.961111111,0.7,1010.22
8.033333333,0.7,1010.39
9.077777778,0.65,1010.24
9.05,0.62,1010
9.05,0.65,1009.98
9.183333333,0.65,1010.05
9.072222222,0.7,1010.1
7.983333333,0.75,1010.39
8.072222222,0.75,1010.91
7.894444444,0.82,1011.32
7.311111111,0.83,1011.61
7.338888889,0.84,1011.97
6.622222222,0.85,1012.22
6.066666667,0.88,1012.74
8.338888889,0.88,1015.35
5.183333333,0.91,1013.29
3.722222222,0.94,1013.39
4.855555556,0.93,1013.45
5.211111111,0.92,1013.4
6.255555556,0.92,1013.81
7.794444444,0.87,1014.7
10.05,0.76,1014.67
12.2,0.66,1014.66
12.7,0.63,1014.8
13.93333333,0.58,1014.47
15.09444444,0.59,1014.16
15.15,0.5,1014.07
16.17777778,0.44,1013.34
16.25,0.55,1012.72
16.29444444,0.5,1012.38
16.1,0.56,1012.38
12.95555556,0.68,1012.72
13.85,0.64,1013.42
12.77777778,0.69,1014.41
12.15,0.72,1014.89
10.67777778,0.81,1014.91
10.44444444,0.83,1014.75
9.822222222,0.8,1015.55
11.02777778,0.74,1015.7
7.138888889,0.93,1016.43
7.622222222,0.89,1016.56
7.627777778,0.86,1017.15
7.044444444,0.86,1017.37
8.6,0.84,1018.25
9.65,0.84,1019.24
12.10555556,0.72,1019.83
12.77777778,0.71,1020.51
13.81111111,0.65,1020.91
16.01666667,0.48,1020.6
17.12777778,0.47,1020.39
17.14444444,0.43,1020.34
17.77777778,0.4,1019.7
17.77777778,0.37,1018.89
17.80555556,0.43,1018.48
16.15555556,0.52,1017.87
14.05,0.63,1017.56
13.08888889,0.67,1017.38
12.28888889,0.72,1017.58
12.77777778,0.66,1017.65
12.72777778,0.67,1017.36
12.26666667,0.69,1016.8
11.71111111,0.71,1016.64
10.82777778,0.86,1013.13
12.2,0.59,1014.79
12.2,0.6,1014.25
11.68888889,0.68,1013.95
11.20555556,0.77,1013.63
11.13333333,0.77,1013.27
11.43888889,0.77,1013.56
13.03333333,0.81,1012.85
17.24444444,0.62,1012.15
17.73888889,0.53,1011.71
17.84444444,0.56,1011.28
18.86111111,0.56,1010.99
18.66666667,0.56,1010.93
17.82222222,0.56,1010.7
17.8,0.59,1010.52
17.35,0.57,1010.69
16.06666667,0.67,1010.86
14.93333333,0.73,1011.14
13.92222222,0.78,1011.64
12.75555556,0.84,1012.02
12.75555556,0.84,1012.21
12.37222222,0.86,1012.33
11.18333333,0.93,1012.6
11.66666667,0.9,1012.8
8.977777778,0.95,1012.66
10.57777778,0.93,1012.32
10.53333333,0.89,1012.33
10.58888889,0.87,1012.55
9.983333333,0.89,1012.71
11.02222222,0.86,1013.01
13.53888889,0.75,1013.23
13.88888889,0.68,1013.31
15,0.67,1013.4
17.18333333,0.57,1013.27
16.2,0.62,1013.02
17.75,0.56,1013.03
18.40555556,0.54,1012.55
17.82222222,0.59,1012.03
17.31111111,0.57,1011.81
17.50555556,0.55,1011.33
17.26666667,0.54,1011.2
15.13888889,0.61,1011.5
13.25,0.69,1011.76
12.29444444,0.72,1012.01
10.7,0.79,1012.31
9.855555556,0.85,1012.51
9.522222222,0.88,1012.52
8.405555556,0.92,1012.61
13.01111111,0.82,1011.27
7.733333333,0.96,1012.54
6.138888889,0.96,1012.44
6.472222222,0.95,1012.62
6.627777778,0.96,1012.75
8.688888889,0.93,1012.96
11.99444444,0.81,1013.38
13.76666667,0.78,1013.14
15.08888889,0.77,1013.33
16.45555556,0.68,1013.56
17.31111111,0.62,1013.61
17.87222222,0.64,1013.11
19.03888889,0.47,1012.69
18.97777778,0.51,1012.2
19.00555556,0.55,1011.7
19.01111111,0.53,1011.4
17.86666667,0.64,1011.32
17.26666667,0.62,1011.23
16.18888889,0.61,1011.5
14.88333333,0.72,1012.05
14.32777778,0.75,1012.15
14.51111111,0.75,1012.09
14.37222222,0.75,1011.83
14.87777778,0.72,1011.45
10.40555556,0.92,1012.05
12.82222222,0.83,1011.18
12.8,0.85,1010.07
12.82777778,0.86,1009.83
12.26666667,0.85,1009.8
12.26666667,0.85,1009.99
12.18333333,0.82,1010.21
12.17222222,0.8,1010.41
12.71111111,0.83,1010.33
15.60555556,0.78,1010.43
16.02222222,0.78,1010.29
17.2,0.67,1010.1
17.21666667,0.71,1009.96
17.82777778,0.69,1009.86
17.82777778,0.69,1009.47
17.73333333,0.69,1009.63
16.27222222,0.71,1009.39
13.16666667,0.93,1011.07
13.25555556,0.93,1011.23
13.01111111,0.93,1011.35
12.45555556,0.91,1011.67
12.48888889,0.9,1011.76
9.555555556,0.8,1015.68
10.62222222,0.79,1015.41
8.722222222,0.93,1014.98
10.53333333,0.77,1015.18
9.444444444,0.83,1014.7
9.888888889,0.83,1014.64
10.36666667,0.78,1014.31
8.888888889,0.89,1014.63
9.977777778,0.84,1014.82
12.2,0.73,1014.82
13.96111111,0.67,1015
14.94444444,0.67,1014.9
16.18333333,0.71,1014.35
16.36666667,0.61,1014.51
17.37222222,0.57,1014.32
17.67222222,0.51,1013.93
17.72222222,0.53,1013.45
16.23888889,0.61,1013.43
14.06666667,0.71,1013.58
13.95555556,0.76,1013.24
12.28888889,0.8,1013.7
10.02222222,0.86,1014.14
9.377777778,0.86,1014.34
9.416666667,0.9,1014.6
11.82777778,0.92,1011.68
10.76111111,0.91,1011.98
12.15555556,0.95,1015.64
9.672222222,0.94,1012.26
8.15,0.94,1012.63
10.2,0.95,1012.62
10.11666667,0.99,1012.85
10.16111111,0.99,1013.61
11.24444444,0.98,1013.9
12.24444444,0.99,1014.31
13.91111111,0.92,1014.43
15.61666667,0.82,1014.73
15.07222222,0.86,1014.92
15.07222222,0.82,1014.73
14.26666667,0.87,1014.92
16.01666667,0.81,1014.76
15.02777778,0.86,1014.37
13.94444444,0.89,1014.83
12.91666667,0.95,1015.11
12.89444444,0.95,1015.14
12.4,0.98,1015.5
12.26666667,0.99,1015.76
12.22222222,0.96,1016.35
11.25,0.96,1016.38
11.52777778,0.96,1016.43
11.53888889,0.96,1016.56
9.438888889,0.96,1017.23
11.43888889,0.96,1016.17
11.39444444,0.96,1016.25
11.52777778,0.96,1016.13
11.95,0.93,1016.17
11.97222222,1,1016.45
12.63333333,0.96,1016.94
12.75555556,0.96,1017.06
13.84444444,0.9,1017.45
13.17222222,0.94,1017.77
15.06666667,0.86,1017.73
17.24444444,0.75,1017.53
16.31666667,0.76,1017.31
17.38333333,0.74,1016.82
15.27222222,0.76,1016.6
17.45555556,0.72,1016.39
16.22222222,0.77,1016.33
15.08333333,0.82,1016.52
13.99444444,0.88,1016.81
12.17222222,0.92,1017.34
11.08888889,0.95,1017.54
